CustomerID,CustomerName,DOB,Phone,Email,Address
61,Customer_61,1991-08-15,9876500061,customer61@mail.com,Address 61
62,Customer_62,1992-09-15,9876500062,customer62@mail.com,Address 62
63,Customer_63,1993-01-15,9876500063,customer63@mail.com,Address 63
64,Customer_64,1994-02-15,9876500064,customer64@mail.com,Address 64
65,Customer_65,1995-03-15,9876500065,customer65@mail.com,Address 65
66,Customer_66,1996-04-15,9876500066,customer66@mail.com,Address 66
67,Customer_67,1997-05-15,9876500067,customer67@mail.com,Address 67
68,Customer_68,1998-06-15,9876500068,customer68@mail.com,Address 68
69,Customer_69,1999-07-15,9876500069,customer69@mail.com,Address 69
70,Customer_70,1990-08-15,9876500070,customer70@mail.com,Address 70
71,Customer_71,1991-09-15,9876500071,customer71@mail.com,Address 71
72,Customer_72,1992-01-15,9876500072,customer72@mail.com,Address 72
73,Customer_73,1993-02-15,9876500073,customer73@mail.com,Address 73
74,Customer_74,1994-03-15,9876500074,customer74@mail.com,Address 74
75,Customer_75,1995-04-15,9876500075,customer75@mail.com,Address 75
76,Customer_76,1996-05-15,9876500076,customer76@mail.com,Address 76
77,Customer_77,1997-06-15,9876500077,customer77@mail.com,Address 77
78,Customer_78,1998-07-15,9876500078,customer78@mail.com,Address 78
79,Customer_79,1999-08-15,9876500079,customer79@mail.com,Address 79
80,Customer_80,1990-09-15,9876500080,customer80@mail.com,Address 80
81,Customer_81,1991-01-15,9876500081,customer81@mail.com,Address 81
82,Customer_82,1992-02-15,9876500082,customer82@mail.com,Address 82
83,Customer_83,1993-03-15,9876500083,customer83@mail.com,Address 83
84,Customer_84,1994-04-15,9876500084,customer84@mail.com,Address 84
85,Customer_85,1995-05-15,9876500085,customer85@mail.com,Address 85
86,Customer_86,1996-06-15,9876500086,customer86@mail.com,Address 86
87,Customer_87,1997-07-15,9876500087,customer87@mail.com,Address 87
88,Customer_88,1998-08-15,9876500088,customer88@mail.com,Address 88
89,Customer_89,1999-09-15,9876500089,customer89@mail.com,Address 89
90,Customer_90,1990-01-15,9876500090,customer90@mail.com,Address 90
91,Customer_91,1991-02-15,9876500091,customer91@mail.com,Address 91
92,Customer_92,1992-03-15,9876500092,customer92@mail.com,Address 92
93,Customer_93,1993-04-15,9876500093,customer93@mail.com,Address 93
94,Customer_94,1994-05-15,9876500094,customer94@mail.com,Address 94
95,Customer_95,1995-06-15,9876500095,customer95@mail.com,Address 95
96,Customer_96,1996-07-15,9876500096,customer96@mail.com,Address 96
97,Customer_97,1997-08-15,9876500097,customer97@mail.com,Address 97
98,Customer_98,1998-09-15,9876500098,customer98@mail.com,Address 98
99,Customer_99,1999-01-15,9876500099,customer99@mail.com,Address 99
100,Customer_100,1990-02-15,9876500100,customer100@mail.com,Address 100
